Dataset_ID,Dataset_name,No_samples,Category_of_biomarker_study,Study_design,Mode_of_patient_enrollment,Organ,Disease,Tissue_type,Clinical_outcome,Type_of_clinical_outcome,Geographic_area,Country,Major_patient_ethnicity,Time_scale,Median_follow_up_time,Clinical_and_molecular_variables,Reference_PMID,Assay_platform_ID,Sample_storage_method,Accession_in_public_database,Public_access_to_genomic_data,Public_access_to_clinical_data,Note
COC000001,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_LIVER_EARLY_RECURRENCE,82,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Early recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,2.9 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10140,Y,N,-
COC000002,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_LIVER_LATE_RECURRENCE,82,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Late recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,2.9 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10140,Y,N,-
COC000003,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_LIVER_RECURRENCE,82,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,2.9 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10140,Y,N,-
COC000004,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_LIVER_SURVIVAL,82,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Survival,time-to-event,Eastern Asia,Japan,Asian,Year,7.8 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10140,Y,Y,-
COC000005,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_TUMOR_EARLY_RECURRENCE,80,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Early recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,2.8 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10141,Y,N,-
COC000006,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_TUMOR_LATE_RECURRENCE,80,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Late recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,2.8 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10141,Y,N,-
COC000007,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_TUMOR_RECURRENCE,80,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,2.8 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10141,Y,N,-
COC000008,HOSHIDA_HEPATOCELLULAR_CARCINOMA_JAPAN_TUMOR_SURVIVAL,80,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Survival,time-to-event,Eastern Asia,Japan,Asian,Year,7.9 years,Sex (male/female); HBs (HBs-Ag: 0/1); HCV (HCV-Ab: 0/1); ChildPugh (Child-Pugh class: A/B),18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10141,Y,Y,-
COC000009,HOSHIDA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_LIVER_EARLY_RECURRENCE,225,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Early recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,1.5 years,None,18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10142,Y,N,-
COC000010,HOSHIDA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_LIVER_LATE_RECURRENCE,225,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Late recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,1.5 years,None,18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10142,Y,N,-
COC000011,HOSHIDA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_LIVER_RECURRENCE,225,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,1.5 years,None,18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10142,Y,N,-
COC000012,HOSHIDA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_LIVER_SURVIVAL,225,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor-adjacent liver,Survival,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,2.2 years,None,18923165,GPL5474,Formalin-fixed paraffin-embedded,GSE10142,Y,N,-
COC000013,HOSHIDA_LIVER_CIRRHOSIS_ITALY_LIVER_CHILD_PUGH_PROGRESSION,216,B,Cohort study,Prospective,Liver,Liver cirrhosis,Liver,Child-Pugh class progression,time-to-event,Western Europe,Italy,Caucasian,Year,9.8 years,varices (GI varices: 0/1); bil.1 (bilirubin >1mg/dl: 0/1); plt.100k (platelet <100k: 0/1) ,-,GPL8432,Formalin-fixed paraffin-embedded,GSE15654,Y,N,-
COC000014,HOSHIDA_LIVER_CIRRHOSIS_ITALY_LIVER_HEPATIC_DECOMPENSATION,216,B,Cohort study,Prospective,Liver,Liver cirrhosis,Liver,Hepatic decompensation,time-to-event,Western Europe,Italy,Caucasian,Year,8.6 years,varices (GI varices: 0/1); bil.1 (bilirubin >1mg/dl: 0/1); plt.100k (platelet <100k: 0/1) ,-,GPL8432,Formalin-fixed paraffin-embedded,GSE15654,Y,N,-
COC000015,HOSHIDA_LIVER_CIRRHOSIS_ITALY_LIVER_HEPATOCELLULAR_CARCINOMA_DEVELOPMENT,216,B,Cohort study,Prospective,Liver,Liver cirrhosis,Liver,Hepatocellular carcinoma development,time-to-event,Western Europe,Italy,Caucasian,Year,8.8 years,varices (GI varices: 0/1); bil.1 (bilirubin >1mg/dl: 0/1); plt.100k (platelet <100k: 0/1) ,-,GPL8432,Formalin-fixed paraffin-embedded,GSE15654,Y,N,-
COC000016,HOSHIDA_LIVER_CIRRHOSIS_ITALY_LIVER_SURVIVAL,216,B,Cohort study,Prospective,Liver,Liver cirrhosis,Liver,Survival,time-to-event,Western Europe,Italy,Caucasian,Year,9.8 years,varices (GI varices: 0/1); bil.1 (bilirubin >1mg/dl: 0/1); plt.100k (platelet <100k: 0/1) ,-,GPL8432,Formalin-fixed paraffin-embedded,GSE15654,Y,N,-
COC000017,CHIANG_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_TUMOR_EARLY_RECURRENCE,91,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Early recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,1.6 years,BCLC (BCLC stage: 0/A/B); Age (in number); Sex (male/female); Mutations_TP53 (0/1); Mutations_CTNNB1 (0/1); Immunohistochemistry_pRPS6 (0/1); Immunohistochemistry_pIGFR1 (0/1); Immunohistochemistry_pAkt (0/1); Immunohistochemistry_CTNNB1 (0/1),18701503,GPL570,Fresh frozen,GSE9843,Y,N,Outcome is available for 71 samples
COC000018,CHIANG_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_TUMOR_LATE_RECURRENCE,91,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Late recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,1.6 years,BCLC (BCLC stage: 0/A/B); Age (in number); Sex (male/female); Mutations_TP53 (0/1); Mutations_CTNNB1 (0/1); Immunohistochemistry_pRPS6 (0/1); Immunohistochemistry_pIGFR1 (0/1); Immunohistochemistry_pAkt (0/1); Immunohistochemistry_CTNNB1 (0/1),18701503,GPL570,Fresh frozen,GSE9843,Y,N,Outcome is available for 71 samples
COC000019,CHIANG_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_TUMOR_RECURRENCE,91,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,1.6 years,BCLC (BCLC stage: 0/A/B); Age (in number); Sex (male/female); Mutations_TP53 (0/1); Mutations_CTNNB1 (0/1); Immunohistochemistry_pRPS6 (0/1); Immunohistochemistry_pIGFR1 (0/1); Immunohistochemistry_pAkt (0/1); Immunohistochemistry_CTNNB1 (0/1),18701503,GPL570,Fresh frozen,GSE9843,Y,N,Outcome is available for 71 samples
COC000020,CHIANG_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_TUMOR_SURVIVAL,91,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Survival,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,2.3 years,BCLC (BCLC stage: 0/A/B); Age (in number); Sex (male/female); Mutations_TP53 (0/1); Mutations_CTNNB1 (0/1); Immunohistochemistry_pRPS6 (0/1); Immunohistochemistry_pIGFR1 (0/1); Immunohistochemistry_pAkt (0/1); Immunohistochemistry_CTNNB1 (0/1),18701503,GPL570,Fresh frozen,GSE9843,Y,N,Outcome is available for 71 samples
COC000021,TAMAYO_MEDULLOBLASTOMA_US_SURVIVAL,-,-,Cohort study,Retrospective,Brain,Medulloblastoma,Tumor,Survival,binary,-,-,-,-,-,-,-,-,Fresh frozen,-,Y,N,-
COC000022,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_JAPAN_LIVER_EARLY_RECURRENCE,62,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Liver,Early recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,3.0 years,Sex (male/female)/ HBs (HBs-Ag: 0/1)/ HCV (HCV-Ab: 0/1)/ alcohol (0/1)/ ChildPugh (Child-Pugh class: A/B)/ BCLC (0/A)/ size2cm (tumor size>2cm: 0/1)/ mVI (micro-vascular invasion: 0/1)/ satellite (0/1) ,21320499,GPL5474,Formalin-fixed paraffin-embedded,GSE10140,Y,N,-
COC000023,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_JAPAN_LIVER_LATE_RECURRENCE,62,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Liver,Late recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,3.0 years,Sex (male/female)/ HBs (HBs-Ag: 0/1)/ HCV (HCV-Ab: 0/1)/ alcohol (0/1)/ ChildPugh (Child-Pugh class: A/B)/ BCLC (0/A)/ size2cm (tumor size>2cm: 0/1)/ mVI (micro-vascular invasion: 0/1)/ satellite (0/1) ,21320499,GPL5474,Formalin-fixed paraffin-embedded,GSE10140,Y,N,-
COC000024,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_JAPAN_LIVER_RECURRENCE,62,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Liver,Recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,3.0 years,Sex (male/female)/ HBs (HBs-Ag: 0/1)/ HCV (HCV-Ab: 0/1)/ alcohol (0/1)/ ChildPugh (Child-Pugh class: A/B)/ BCLC (0/A)/ size2cm (tumor size>2cm: 0/1)/ mVI (micro-vascular invasion: 0/1)/ satellite (0/1) ,21320499,GPL5474,Formalin-fixed paraffin-embedded,GSE10140,Y,N,-
COC000025,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_JAPAN_LIVER_SURVIVAL,62,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Liver,Survival,time-to-event,Eastern Asia,Japan,Asian,Year,8.3 years,Sex (male/female)/ HBs (HBs-Ag: 0/1)/ HCV (HCV-Ab: 0/1)/ alcohol (0/1)/ ChildPugh (Child-Pugh class: A/B)/ BCLC (0/A)/ size2cm (tumor size>2cm: 0/1)/ mVI (micro-vascular invasion: 0/1)/ satellite (0/1) ,21320499,GPL5474,Formalin-fixed paraffin-embedded,GSE10140,Y,N,-
COC000026,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_JAPAN_TUMOR_EARLY_RECURRENCE,62,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Early recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,3.0 years,Sex (male/female)/ HBs (HBs-Ag: 0/1)/ HCV (HCV-Ab: 0/1)/ alcohol (0/1)/ ChildPugh (Child-Pugh class: A/B)/ BCLC (0/A)/ size2cm (tumor size>2cm: 0/1)/ mVI (micro-vascular invasion: 0/1)/ satellite (0/1) ,21320499,GPL5474,Formalin-fixed paraffin-embedded,GSE10141,Y,N,-
COC000027,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_JAPAN_TUMOR_LATE_RECURRENCE,62,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Late recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,3.0 years,Sex (male/female)/ HBs (HBs-Ag: 0/1)/ HCV (HCV-Ab: 0/1)/ alcohol (0/1)/ ChildPugh (Child-Pugh class: A/B)/ BCLC (0/A)/ size2cm (tumor size>2cm: 0/1)/ mVI (micro-vascular invasion: 0/1)/ satellite (0/1) ,21320499,GPL5474,Formalin-fixed paraffin-embedded,GSE10141,Y,N,-
COC000028,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_JAPAN_TUMOR_RECURRENCE,62,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Recurrence,time-to-event,Eastern Asia,Japan,Asian,Year,3.0 years,Sex (male/female)/ HBs (HBs-Ag: 0/1)/ HCV (HCV-Ab: 0/1)/ alcohol (0/1)/ ChildPugh (Child-Pugh class: A/B)/ BCLC (0/A)/ size2cm (tumor size>2cm: 0/1)/ mVI (micro-vascular invasion: 0/1)/ satellite (0/1) ,21320499,GPL5474,Formalin-fixed paraffin-embedded,GSE10141,Y,N,-
COC000029,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_JAPAN_TUMOR_SURVIVAL,62,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Survival,time-to-event,Eastern Asia,Japan,Asian,Year,8.3 years,Sex (male/female)/ HBs (HBs-Ag: 0/1)/ HCV (HCV-Ab: 0/1)/ alcohol (0/1)/ ChildPugh (Child-Pugh class: A/B)/ BCLC (0/A)/ size2cm (tumor size>2cm: 0/1)/ mVI (micro-vascular invasion: 0/1)/ satellite (0/1) ,21320499,GPL5474,Formalin-fixed paraffin-embedded,GSE10141,Y,N,-
COC000030,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_LIVER_EARLY_RECURRENCE,164,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Liver,Early recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,2.1 years,None,21320499,GPL5474,Formalin-fixed paraffin-embedded,GSE10142,Y,N,-
COC000031,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_LIVER_LATE_RECURRENCE,164,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Liver,Late recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,2.1 years,None,21320499,GPL5474,Formalin-fixed paraffin-embedded,GSE10142,Y,N,-
COC000032,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_LIVER_RECURRENCE,164,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Liver,Recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,2.1 years,None,21320499,GPL5474,Formalin-fixed paraffin-embedded,GSE10142,Y,N,-
COC000033,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_LIVER_SURVIVAL,164,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Liver,Survival,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,2.8 years,None,21320499,GPL5474,Formalin-fixed paraffin-embedded,GSE10142,Y,N,-
COC000034,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_TUMOR_EARLY_RECURRENCE,164,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Early recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,2.1 years,None,21320499,GPL8432,Formalin-fixed paraffin-embedded,GSE19977,Y,N,-
COC000035,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_TUMOR_LATE_RECURRENCE,164,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Late recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,2.1 years,None,21320499,GPL8432,Formalin-fixed paraffin-embedded,GSE19977,Y,N,-
COC000036,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_TUMOR_RECURRENCE,164,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,2.1 years,None,21320499,GPL8432,Formalin-fixed paraffin-embedded,GSE19977,Y,N,-
COC000037,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_TUMOR_SURVIVAL,164,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Survival,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,2.8 years,None,21320499,GPL8432,Formalin-fixed paraffin-embedded,GSE19977,Y,N,-
COC000038,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_TUMOR_EARLY_RECURRENCE_2,61,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Early recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,1.6 years,Sex (male/female)/ Age60 (age>60yr: 0/1)/ BCLC (0/A/B),21320499,GPL570,Fresh frozen,GSE9843,Y,N,-
COC000039,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_TUMOR_LATE_RECURRENCE_2,61,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Late recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,1.6 years,Sex (male/female)/ Age60 (age>60yr: 0/1)/ BCLC (0/A/B),21320499,GPL570,Fresh frozen,GSE9843,Y,N,-
COC000040,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_TUMOR_RECURRENCE_2,61,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Recurrence,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,1.6 years,Sex (male/female)/ Age60 (age>60yr: 0/1)/ BCLC (0/A/B),21320499,GPL570,Fresh frozen,GSE9843,Y,N,-
COC000041,VILLANUEVA_HEPATOCELLULAR_CARCINOMA_SPAIN_ITALY_US_TUMOR_SURVIVAL_2,61,D,Cohort study,Retrospective,Liver,Hepatocellular carcinoma,Tumor,Survival,time-to-event,Western Europe/ N.America,Spain/ Italy/ US,Caucasian/ Asian,Year,2.1 years,Sex (male/female)/ Age60 (age>60yr: 0/1)/ BCLC (0/A/B),21320499,GPL570,Fresh frozen,GSE9843,Y,N,-
